time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-18T10:00:00.0000000Z,2021-01-18T11:00:00.0000000Z,2021-01-18T10:00:00.4830000Z,2021-01-18T10:59:59.0700000Z,0.9996,0.9999,0.9993,0.9997,3395269.79999884,2126
2021-01-18T11:00:00.0000000Z,2021-01-18T12:00:00.0000000Z,2021-01-18T11:00:02.2020000Z,2021-01-18T11:59:50.9800000Z,0.9996,0.9999,0.9994,0.9996,4208734.76747092,2894
2021-01-18T12:00:00.0000000Z,2021-01-18T13:00:00.0000000Z,2021-01-18T12:00:00.3370000Z,2021-01-18T12:59:35.4140000Z,0.9995,0.9997,0.9992,0.9996,2310300.32268665,2052
2021-01-18T13:00:00.0000000Z,2021-01-18T14:00:00.0000000Z,2021-01-18T13:00:04.8650000Z,2021-01-18T13:59:55.0340000Z,0.9996,1.0001,0.9995,1.0,1503483.96847593,1135
2021-01-18T14:00:00.0000000Z,2021-01-18T15:00:00.0000000Z,2021-01-18T14:00:03.2860000Z,2021-01-18T14:59:59.2340000Z,1.0001,1.0001,0.9999,1.0001,2165312.10365882,782
2021-01-18T15:00:00.0000000Z,2021-01-18T16:00:00.0000000Z,2021-01-18T15:00:00.9410000Z,2021-01-18T15:59:42.0630000Z,1.0,1.0005,1.0,1.0004,2591188.19262327,1389
2021-01-18T16:00:00.0000000Z,2021-01-18T17:00:00.0000000Z,2021-01-18T16:00:10.8140000Z,2021-01-18T16:59:55.5900000Z,1.0005,1.0005,1.0001,1.0004,1306332.50395632,1226
2021-01-18T17:00:00.0000000Z,2021-01-18T18:00:00.0000000Z,2021-01-18T17:00:03.0440000Z,2021-01-18T17:59:58.4740000Z,1.0005,1.0006,1.0002,1.0004,1233253.07933337,1468
2021-01-18T18:00:00.0000000Z,2021-01-18T19:00:00.0000000Z,2021-01-18T18:00:07.3910000Z,2021-01-18T18:59:57.8090000Z,1.0004,1.0007,1.0003,1.0006,1430709.18075073,1175
2021-01-18T19:00:00.0000000Z,2021-01-18T20:00:00.0000000Z,2021-01-18T19:00:00.2110000Z,2021-01-18T19:59:52.2930000Z,1.0007,1.0009,1.0003,1.0006,1877162.64120973,995
2021-01-18T20:00:00.0000000Z,2021-01-18T21:00:00.0000000Z,2021-01-18T20:00:04.1530000Z,2021-01-18T20:59:52.6410000Z,1.0005,1.0007,1.0003,1.0006,1137556.76548257,1098
2021-01-18T21:00:00.0000000Z,2021-01-18T22:00:00.0000000Z,2021-01-18T21:00:00.0470000Z,2021-01-18T21:59:51.0910000Z,1.0005,1.0008,1.0004,1.0005,1473482.24547891,1365
2021-01-18T22:00:00.0000000Z,2021-01-18T23:00:00.0000000Z,2021-01-18T22:00:04.1880000Z,2021-01-18T22:59:40.4540000Z,1.0005,1.0006,1.0002,1.0002,1099958.60254581,1251
2021-01-18T23:00:00.0000000Z,2021-01-19T00:00:00.0000000Z,2021-01-18T23:00:10.5340000Z,2021-01-18T23:59:52.3740000Z,1.0002,1.0005,1.0001,1.0001,994383.42607378,1235
2021-01-19T00:00:00.0000000Z,2021-01-19T01:00:00.0000000Z,2021-01-19T00:00:01.9740000Z,2021-01-19T00:59:58.1780000Z,1.0001,1.0005,1.0,1.0002,2833240.38374058,2103
2021-01-19T01:00:00.0000000Z,2021-01-19T02:00:00.0000000Z,2021-01-19T01:00:01.2340000Z,2021-01-19T01:59:59.6700000Z,1.0002,1.0013,1.0,1.0008,4154342.16364011,2790
2021-01-19T02:00:00.0000000Z,2021-01-19T03:00:00.0000000Z,2021-01-19T02:00:02.0980000Z,2021-01-19T02:59:54.2840000Z,1.0008,1.0015,1.0003,1.001,1537044.02978206,1113
2021-01-19T03:00:00.0000000Z,2021-01-19T04:00:00.0000000Z,2021-01-19T03:00:04.7800000Z,2021-01-19T03:59:58.0790000Z,1.0009,1.0015,1.0007,1.001,1671906.35818667,1028
2021-01-19T04:00:00.0000000Z,2021-01-19T05:00:00.0000000Z,2021-01-19T04:00:16.4670000Z,2021-01-19T04:59:58.7390000Z,1.001,1.0014,1.0008,1.0013,2785016.54795596,644
2021-01-19T05:00:00.0000000Z,2021-01-19T06:00:00.0000000Z,2021-01-19T05:00:03.5630000Z,2021-01-19T05:59:59.1140000Z,1.0013,1.0016,1.0012,1.0016,1745036.12886669,617
2021-01-19T06:00:00.0000000Z,2021-01-19T07:00:00.0000000Z,2021-01-19T06:00:00.3130000Z,2021-01-19T06:59:59.6160000Z,1.0015,1.0019,1.0015,1.0017,2131470.03606719,1053
2021-01-19T07:00:00.0000000Z,2021-01-19T08:00:00.0000000Z,2021-01-19T07:00:02.7750000Z,2021-01-19T07:59:53.8390000Z,1.0017,1.0021,1.0014,1.0019,3916808.41410995,3128
2021-01-19T08:00:00.0000000Z,2021-01-19T09:00:00.0000000Z,2021-01-19T08:00:00.3170000Z,2021-01-19T08:59:56.4840000Z,1.0019,1.0035,1.0009,1.0009,5407399.32451197,2368
2021-01-19T09:00:00.0000000Z,2021-01-19T10:00:00.0000000Z,2021-01-19T09:00:01.1740000Z,2021-01-19T09:59:58.7190000Z,1.0009,1.0016,1.0007,1.0013,3450699.2244277,3173
2021-01-19T10:00:00.0000000Z,2021-01-19T11:00:00.0000000Z,2021-01-19T10:00:00.0630000Z,2021-01-19T10:59:51.3240000Z,1.0013,1.002,1.001,1.001,4827857.42544164,2694
2021-01-19T11:00:00.0000000Z,2021-01-19T12:00:00.0000000Z,2021-01-19T11:00:00.4000000Z,2021-01-19T11:59:58.2700000Z,1.0009,1.0018,1.0008,1.0012,3668027.48466134,2733
2021-01-19T12:00:00.0000000Z,2021-01-19T13:00:00.0000000Z,2021-01-19T12:00:02.4190000Z,2021-01-19T12:59:57.6800000Z,1.0012,1.0013,1.0008,1.0009,5313939.51032489,2166
2021-01-19T13:00:00.0000000Z,2021-01-19T14:00:00.0000000Z,2021-01-19T13:00:11.1520000Z,2021-01-19T13:59:54.5080000Z,1.0008,1.001,1.0007,1.0009,3264284.04158265,1468
2021-01-19T14:00:00.0000000Z,2021-01-19T15:00:00.0000000Z,2021-01-19T14:00:02.1610000Z,2021-01-19T14:59:55.4600000Z,1.001,1.0011,1.0007,1.0009,3508910.43042504,1984
2021-01-19T15:00:00.0000000Z,2021-01-19T16:00:00.0000000Z,2021-01-19T15:00:09.2430000Z,2021-01-19T15:59:57.1180000Z,1.0009,1.001,1.0007,1.0008,4269137.53573503,2353
2021-01-19T16:00:00.0000000Z,2021-01-19T17:00:00.0000000Z,2021-01-19T16:00:01.6310000Z,2021-01-19T16:59:59.3100000Z,1.0007,1.0008,1.0,1.0002,5437238.41816507,2841
2021-01-19T17:00:00.0000000Z,2021-01-19T18:00:00.0000000Z,2021-01-19T17:00:17.2210000Z,2021-01-19T17:59:55.0560000Z,1.0002,1.0006,1.0,1.0005,1963473.23488469,1751
2021-01-19T18:00:00.0000000Z,2021-01-19T19:00:00.0000000Z,2021-01-19T18:00:04.2110000Z,2021-01-19T18:59:55.1840000Z,1.0004,1.0005,0.9995,0.9996,5072790.65888272,3472
2021-01-19T19:00:00.0000000Z,2021-01-19T20:00:00.0000000Z,2021-01-19T19:00:02.0240000Z,2021-01-19T19:59:58.5660000Z,0.9997,1.0002,0.9994,0.9999,4157036.2071794,2541
2021-01-19T20:00:00.0000000Z,2021-01-19T21:00:00.0000000Z,2021-01-19T20:00:00.3480000Z,2021-01-19T20:59:58.0680000Z,0.9999,1.0005,0.9998,1.0005,2582883.50144216,1779
2021-01-19T21:00:00.0000000Z,2021-01-19T22:00:00.0000000Z,2021-01-19T21:00:01.7120000Z,2021-01-19T21:59:42.2150000Z,1.0005,1.0008,0.9999,1.0007,1966801.39124289,1480
2021-01-19T22:00:00.0000000Z,2021-01-19T23:00:00.0000000Z,2021-01-19T22:00:00.2640000Z,2021-01-19T22:59:54.0720000Z,1.0008,1.0008,1.0003,1.0004,1037314.05848965,1081
2021-01-19T23:00:00.0000000Z,2021-01-20T00:00:00.0000000Z,2021-01-19T23:00:18.1630000Z,2021-01-19T23:59:59.6910000Z,1.0005,1.0008,1.0003,1.0005,1000724.99975157,1426
2021-01-20T00:00:00.0000000Z,2021-01-20T01:00:00.0000000Z,2021-01-20T00:00:00.3470000Z,2021-01-20T00:59:55.9440000Z,1.0006,1.0007,1.0004,1.0004,999662.17036203,1149
2021-01-20T01:00:00.0000000Z,2021-01-20T02:00:00.0000000Z,2021-01-20T01:00:06.8440000Z,2021-01-20T01:59:59.3210000Z,1.0005,1.0005,1.0,1.0003,720180.02343555,618
2021-01-20T02:00:00.0000000Z,2021-01-20T03:00:00.0000000Z,2021-01-20T02:00:00.6270000Z,2021-01-20T02:59:47.8750000Z,1.0003,1.0008,1.0002,1.0007,1085750.87288535,1233
2021-01-20T03:00:00.0000000Z,2021-01-20T04:00:00.0000000Z,2021-01-20T03:00:01.4920000Z,2021-01-20T03:59:58.0350000Z,1.0007,1.0008,1.0002,1.0004,2227172.11219942,2434
2021-01-20T04:00:00.0000000Z,2021-01-20T05:00:00.0000000Z,2021-01-20T04:00:01.9750000Z,2021-01-20T04:59:50.8910000Z,1.0005,1.0008,1.0003,1.0008,2647291.5256168,1977
2021-01-20T05:00:00.0000000Z,2021-01-20T06:00:00.0000000Z,2021-01-20T05:00:11.9730000Z,2021-01-20T05:59:47.4060000Z,1.0008,1.001,1.0006,1.0006,1102191.93564556,1137
2021-01-20T06:00:00.0000000Z,2021-01-20T07:00:00.0000000Z,2021-01-20T06:00:06.9420000Z,2021-01-20T06:59:56.3120000Z,1.0006,1.0009,1.0004,1.0004,1707144.56281372,1835
2021-01-20T07:00:00.0000000Z,2021-01-20T08:00:00.0000000Z,2021-01-20T07:00:07.7510000Z,2021-01-20T07:59:48.8700000Z,1.0005,1.0008,1.0003,1.0006,2698122.15473867,2539
2021-01-20T08:00:00.0000000Z,2021-01-20T09:00:00.0000000Z,2021-01-20T08:00:07.0340000Z,2021-01-20T08:59:49.4620000Z,1.0006,1.0042,1.0004,1.0006,3839750.01096172,2873
2021-01-20T09:00:00.0000000Z,2021-01-20T10:00:00.0000000Z,2021-01-20T09:00:02.0550000Z,2021-01-20T09:59:59.9910000Z,1.0006,1.0007,0.9998,1.0,4252612.66474807,3186
2021-01-20T10:00:00.0000000Z,2021-01-20T11:00:00.0000000Z,2021-01-20T10:00:01.2770000Z,2021-01-20T10:59:58.0120000Z,1.0,1.0005,0.9998,1.0003,2421414.63860385,2544
2021-01-20T11:00:00.0000000Z,2021-01-20T12:00:00.0000000Z,2021-01-20T11:00:03.3480000Z,2021-01-20T11:59:58.3660000Z,1.0003,1.0006,0.9995,0.9996,5529798.56948459,3272
2021-01-20T12:00:00.0000000Z,2021-01-20T13:00:00.0000000Z,2021-01-20T12:00:08.4130000Z,2021-01-20T12:59:59.9540000Z,0.9997,0.9999,0.9992,0.9999,3511608.03607844,1896
2021-01-20T13:00:00.0000000Z,2021-01-20T14:00:00.0000000Z,2021-01-20T13:00:00.0420000Z,2021-01-20T13:59:59.6950000Z,0.9999,1.0003,0.9996,1.0002,4456545.53577983,3173
2021-01-20T14:00:00.0000000Z,2021-01-20T15:00:00.0000000Z,2021-01-20T14:00:00.1660000Z,2021-01-20T14:59:48.9050000Z,1.0002,1.0008,1.0,1.0006,5564975.72303171,3051
2021-01-20T15:00:00.0000000Z,2021-01-20T16:00:00.0000000Z,2021-01-20T15:00:09.1450000Z,2021-01-20T15:59:58.8550000Z,1.0006,1.001,1.0004,1.0005,3832436.21200101,3387
2021-01-20T16:00:00.0000000Z,2021-01-20T17:00:00.0000000Z,2021-01-20T16:00:00.4760000Z,2021-01-20T16:59:59.9870000Z,1.0005,1.0007,0.9998,1.0001,6453687.31352544,4963
2021-01-20T17:00:00.0000000Z,2021-01-20T18:00:00.0000000Z,2021-01-20T17:00:01.1900000Z,2021-01-20T17:59:58.0440000Z,1.0001,1.0004,0.9999,1.0004,4560935.30349876,4023
2021-01-20T18:00:00.0000000Z,2021-01-20T19:00:00.0000000Z,2021-01-20T18:00:02.2390000Z,2021-01-20T18:59:56.8490000Z,1.0003,1.0005,1.0001,1.0004,3373643.32315896,1490
2021-01-20T19:00:00.0000000Z,2021-01-20T20:00:00.0000000Z,2021-01-20T19:00:00.1290000Z,2021-01-20T19:59:20.9020000Z,1.0004,1.0007,1.0002,1.0006,2221579.95118721,1488
2021-01-20T20:00:00.0000000Z,2021-01-20T21:00:00.0000000Z,2021-01-20T20:00:08.8870000Z,2021-01-20T20:59:53.3500000Z,1.0006,1.0009,1.0003,1.0003,977157.14797892,1223
2021-01-20T21:00:00.0000000Z,2021-01-20T22:00:00.0000000Z,2021-01-20T21:00:00.0500000Z,2021-01-20T21:59:51.6630000Z,1.0003,1.0004,1.0,1.0003,2170105.90239043,1270
2021-01-20T22:00:00.0000000Z,2021-01-20T23:00:00.0000000Z,2021-01-20T22:00:02.1370000Z,2021-01-20T22:59:40.2170000Z,1.0004,1.0008,1.0002,1.0006,896145.65362941,1203
2021-01-20T23:00:00.0000000Z,2021-01-21T00:00:00.0000000Z,2021-01-20T23:00:02.0160000Z,2021-01-20T23:59:27.9710000Z,1.0006,1.0008,1.0002,1.0007,1199747.65467956,1712
2021-01-21T00:00:00.0000000Z,2021-01-21T01:00:00.0000000Z,2021-01-21T00:00:05.0660000Z,2021-01-21T00:59:52.9020000Z,1.0007,1.0007,1.0,1.0001,977122.81912986,1086
